trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
118,True,"{'a': 0.0, 'e': 0.0}",25,12,23.521890588867485,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
119,True,"{'a': 0.0, 'e': 0.0}",30,19,18.380058992187184,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
120,True,"{'a': 0.0, 'e': 0.0}",25,7,25.5847664784761,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
121,True,"{'a': 0.0, 'e': 0.0}",30,17,18.771899195610498,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
122,True,"{'a': 0.0, 'e': 0.0}",25,13,23.696860648688833,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
123,True,"{'a': 0.0, 'e': 0.0}",25,14,19.87408374260251,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
124,True,"{'a': 0.0, 'e': 0.0}",30,23,11.669375735224406,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
125,True,"{'a': 0.0, 'e': 0.0}",25,20,8.689337012949157,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
126,True,"{'a': 0.0, 'e': 0.0}",25,11,23.139801271450512,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
127,True,"{'a': 0.0, 'e': 0.0}",25,0,42.82157264468173,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",1
128,True,"{'a': 0.0, 'e': 0.0}",20,16,8.802123283648266,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
129,True,"{'a': 0.0, 'e': 0.0}",20,9,21.461866541026296,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
130,True,"{'a': 0.0, 'e': 0.0}",30,16,29.775026517439134,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
131,True,"{'a': 0.0, 'e': 0.0}",25,15,20.126924629553113,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
132,True,"{'a': 0.0, 'e': 0.0}",25,0,35.18375412175078,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
